id,name
SWZ,Slow Waltz
CSW,Cross-step Waltz
CFT,Castle Foxtrot
SFT,Slow Foxtrot
TGO,Tango (Ballroom)
PBD,Peabody
VWZ,Viennese Waltz
QST,Quickstep
BOL,Bolero
CHA,Cha Cha
MBO,Mambo
JIV,Jive
RMB,Rumba
ECS,East Coast Swing
WCS,West Coast Swing
HST,Hustle
MRG,Merengue
PDL,Paso Doble
SMB,Samba
PLK,Polka
SLS,Salsa
BCH,Bachata
NC2,Night Club Two Step
C2S,Country Two Step
CMB,Cumbia
LHP,Lindy Hop
CST,Charleston
CSG,Carolina Shag
CLS,Collegiate Shag
ATN,Argentine Tango
TGV,Tango Vals
NTN,Neo Tango
MGA,Milonga
BSN,Bossa Nova
JSW,Jump Swing
BLU,Blues
MWT,Motown
BBA,Balboa
JAZ,Jazz
CNT,Contemporary
BLT,Ballet
BDW,Broadway
TAP,Tap
HHP,Hip-Hop
BWD,Bollywood
DSC,Disco
FST,Freestyle
